品目名,読み仮名,分別区分,廃棄方法,注意事項,持込が必要な品目か（TRUE/FALSE）,充電池か（TRUE/FALSE）,携帯電話・タブレットPCか（TRUE/FALSE）,その他の電子機器か（TRUE/FALSE）
薬の外箱包装フィルム,くすりのそとばこほうそうふぃるむ,可燃ごみ,,,0,0,0,0
薬の袋（紙製）,くすりのふくろ（かみせい）,資源物,（古紙・布類）の【古紙（雑がみ）】,,0,0,0,0
果物,くだもの,可燃ごみ,,,0,0,0,0
果物・野菜の網・ネット,くだもの・やさいのあみ・ねっと,可燃ごみ,,,0,0,0,0
果物くず,くだものくず,可燃ごみ,,,0,0,0,0
果物の薄い包み紙,くだもののうすいつつみがみ,可燃ごみ,,,0,0,0,0
果物の箱の中の詰め物（プラスチック製・紙製）,くだもののはこのなかのつめもの（ぷらすちっくせい・かみせい）,可燃ごみ,,,0,0,0,0
果物の箱（厚紙製）,くだもののはこ（あつがみせい）,資源物,（古紙・布類）の【古紙（雑がみ）】,,0,0,0,0
果物の箱（段ボール製）,くだもののはこ（だんぼーるせい）,資源物,（古紙・布類）の【古紙（段ボール）】,,0,0,0,0
口紅,くちべに,可燃ごみ,,,0,0,0,0
口紅の容器（プラスチック製・金属）,くちべにのようき（ぷらすちっくせい・きんぞく）,不燃ごみ,,,0,0,0,0
靴・長靴・サンダル・スリッパ,くつ・ながぐつ・さんだる・すりっぱ,可燃ごみ,,,0,0,0,0
クッキングテーブル,くっきんぐてーぶる,粗大ごみ,,,0,0,0,0
クッキングヒーター,くっきんぐひーたー,不燃ごみまたは粗大ごみ,,,0,0,0,0
靴下,くつした,可燃ごみ,,,0,0,0,0
靴下の帯巻き（紙製）（コーティングのないもの）,くつしたのおびまき（かみせい）（こーてぃんぐのないもの）,資源物,（古紙・布類）の【古紙（雑がみ）】,端をちぎった時にフィルム状のものが見えたら、コーティングがあるものです。コーティングのあるものは「可燃ごみ」へ。,0,0,0,0
靴下の外包装,くつしたのそとほうそう,可燃ごみ,,,0,0,0,0
クッション,くっしょん,可燃ごみまたは粗大ごみ,,ビーズ等のプラスチック入りを含む。口が結べない又は口が結べるかはみ出してしまうものは粗大ごみ,0,0,0,0
クッションフロア,くっしょんふろあ,可燃ごみまたは粗大ごみ,,,0,0,0,0
クッション材（スポンジ等）,くっしょんざい（すぽんじなど）,可燃ごみまたは粗大ごみ,,,0,0,0,0
靴墨のチューブ,くつすみのちゅーぶ,可燃ごみ,,,0,0,0,0
靴の紙箱（厚紙製）,くつのかみばこ（あつがみせい）,資源物,（古紙・布類）の【古紙（雑がみ）】,,0,0,0,0
靴の紙箱（段ボール製）,くつのかみばこ（だんぼーるせい）,資源物,（古紙・布類）の【古紙（段ボール）】,,0,0,0,0
靴の紙箱の詰め物（プラスチック製）,くつのかみばこのつめもの（ぷらすちっくせい）,不燃ごみ,,,0,0,0,0
靴の紙箱の中のの薄い包み紙・詰め物（紙製）,くつのかみばこのなかののうすいつつみかみ・つめもの（かみせい）,可燃ごみ,,,0,0,0,0
靴の中敷き,くつのなかじき,可燃ごみ,,,0,0,0,0
靴箱,くつばこ,粗大ごみ,,,0,0,0,0
靴べら（プラスチック製）,くつべら（ぷらすちっくせい）,不燃ごみ,,,0,0,0,0
靴べら（木製）,くつべら（もくせい）,可燃ごみ,,,0,0,0,0
クラッカー（爆竹）（未使用）,くらっかー（ばくちく）（みしよう）,排出禁止物等,,,1,0,0,0
クリアファイル,くりあふぁいる,可燃ごみ,,,0,0,0,0
クリーニングの包装袋,くりーにんぐのほうそうふくろ,可燃ごみ,,,0,0,0,0
クリップ,くりっぷ,不燃ごみ,,,0,0,0,0
車いす,くるまいす,粗大ごみ,,,0,0,0,0
車のジャッキ（油圧式を除く）,くるまのじゃっき（ゆあつしきをのぞく）,粗大ごみ,,サイズによっては収集不可,0,0,0,0
車のジャッキ（油圧式）,くるまのじゃっき（ゆあつしき）,排出禁止物等,,,1,0,0,0
車のバンパー,くるまのばんぱー,排出禁止物等,,,1,0,0,0
クレヨン,くれよん,可燃ごみ,,,0,0,0,0
クレヨンケース（プラスチック製・紙製）,くれよんけーす（ぷらすちっくせい・かみせい）,可燃ごみ,,,0,0,0,0
クレヨンケースの中敷（紙製）,くれよんけーすのなかじき（かみせい）,可燃ごみ,,,0,0,0,0
クレンザーの容器,くれんざーのようき,可燃ごみ,,,0,0,0,0
グローブ・ミット （野球用）,ぐろーぶ・みっと （やきゅうよう）,可燃ごみ,,,0,0,0,0
グローランプ・グロー球（点灯管）,ぐろーらんぷ・ぐろーきゅう（てんとうかん）,不燃ごみ,,,0,0,0,0
鍬（くわ）,くわ（くわ）,粗大ごみ,,,0,0,0,0
燻煙殺虫剤（缶製品）,くんえんさっちゅうざい（かんせいひん）,不燃ごみ,,使い切ってから出して下さい。,0,0,0,0
軍手,ぐんて,可燃ごみ,,,0,0,0,0
毛（髪の毛）,け（かみのけ）,可燃ごみ,,,0,0,0,0
蛍光管・蛍光灯,けいこうかん・けいこうとう,有害ごみ,,,0,0,0,0
蛍光管の外箱,けいこうかんのそとばこ,資源物,（古紙・布類）の【古紙（段ボール）】,,0,0,0,0
蛍光管の外箱の上の包装フィルム,けいこうかんのそとばこのうえのほうそうふぃるむ,可燃ごみ,,,0,0,0,0
蛍光ペン,けいこうぺん,不燃ごみ,,,0,0,0,0
珪藻土のマット製品,けいそうどのまっとせいひん,不燃ごみまたは粗大ごみ,不燃ごみの袋に入れ、口が結べないもの又ははみ出してしまうものは粗大ごみ。珪藻土のマットやコースターなどの製品のうち、石綿（アスベスト）が含まれている可能性があることが判明した製品については、販売者やメーカーによる自主回収等の対応が行われています。対象製品をお持ちの方はごみとして排出せず、販売者等による回収など適切な処分をお願いいたします。,,0,0,0,0
携帯音楽プレーヤー（MD・CD・MP3等）（充電電池式）,けいたいおんがくぷれーやー（えむでぃー・しーでぃー・えむぴー3とう）（じゅうでんでんちしき）,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ／外した充電式電池は、市の回収拠点または回収協力店へ,,1,0,0,1
携帯音楽プレーヤー（MD・CD・MP3等）（乾電池式）,けいたいおんがくぷれーやー（えむでぃー・しーでぃー・えむぴー3とう）（かんでんちしき）,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ（電池は外す）,,1,0,0,1
携帯情報端末（PDA）,けいたいじょうほうたんまつ（ぴーでぃーえー）,小型家電または不燃ごみ,市役所・区役所・環境事業所・新浜リサイクルセンターなどの携帯電話・スマートフォン専用回収ボックスへ（電池は外す）,,1,0,1,0
携帯電話・スマートフォン,けいたいでんわ・すまーとふぉん,店舗回収協力店または小型家電,モバイル・リサイクルネットワーク（回収協力店が検索できます）／市役所・区役所・環境事業所・新浜リサイクルセンターなどの携帯電話・スマートフォン専用回収ボックスへ（電池は外す）,,1,0,1,0
携帯用発電機,けいたいようはつでんき,不燃ごみまたは粗大ごみ,,,0,0,0,0
携帯ラジオ,けいたいらじお,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ（電池は外す）,,1,0,0,1
毛糸,けいと,可燃ごみ,,,0,0,0,0
計量カップ（ガラス製・プラスチック製）,けいりょうかっぷ（がらすせい・ぷらすちっくせい）,不燃ごみ,,,0,0,0,0
計量スプーン,けいりょうすぷーん,不燃ごみ,,,0,0,0,0
計量ばかり,けいりょうばかり,不燃ごみ,,,0,0,0,0
ケーキ型,けーきかた,不燃ごみ,,,0,0,0,0
ゲートボールのクラブ（FRP製）,げーとぼーるのくらぶ（えふあーるぴーせい）,不燃ごみまたは粗大ごみ,,,0,0,0,0
ゲートボールのクラブ（木製）,げーとぼーるのくらぶ（もくせい）,粗大ごみ,,,0,0,0,0
ケーブル（アンテナ用など）,けーぶる（あんてなようなど）,不燃ごみ,,,0,0,0,0
ケーブル（パソコン用）,けーぶる（ぱそこんよう）,不燃ごみ,本体等をメーカーへリサイクルに出す場合は購入時の標準添付品（マウス、キーボード、スピーカー、ケーブルなど）も一緒に出せます。,,0,0,0,0
ゲームソフト,げーむそふと,不燃ごみ,,,0,0,0,0
ゲームソフトのケース（柔らかいプラスチック製）,げーむそふとのけーす（やわらかいぷらすちっくせい）,可燃ごみ,,,0,0,0,0
ゲーム機（家庭用ゲーム機）（充電電池式）,げーむき（かていようげーむき）（じゅうでんでんちしき）,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ／外した充電式電池は、市の回収拠点または回収協力店へ,,1,0,0,1
ゲーム機（家庭用ゲーム機）,げーむき（かていようげーむき）,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ（電池は外す）,,1,0,0,1
ゲーム盤,げーむばん,不燃ごみまたは粗大ごみ,,紙製や柔らかいシート状のものは「可燃ごみ」へ,0,0,0,0
毛皮製品,けがわせいひん,可燃ごみ,,,0,0,0,0
劇薬（農薬、毒物）,げきやく（のうやく、どくぶつ）,排出禁止物等,,,1,0,0,0
消しゴム,けしごむ,可燃ごみ,,,0,0,0,0
化粧品携帯ポーチ,けしょうひんけいたいぽーち,可燃ごみ,,,0,0,0,0
化粧品のチューブ,けしょうひんのちゅーぶ,可燃ごみ,,,0,0,0,0
化粧品のびんのフタ（プラ製）,けしょうひんのびんのふた（ぷらせい）,不燃ごみ,,,0,0,0,0
化粧品のびんの中フタ（プラスチック製）,けしょうひんのびんのなかふた（ぷらすちっくせい）,可燃ごみ,,,0,0,0,0
化粧品の容器（ガラス製）,けしょうひんのようき（がらすせい）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【びん】,水ですすぐ,0,0,0,0
化粧品の容器（プラスチック製）,けしょうひんのようき（ぷらすちっくせい）,可燃ごみ,,,0,0,0,0
化粧品の紙箱（においが移っていないもの）,けしょうひんのかみばこ（においがうつっていないもの）,資源物,（古紙・布類）の【古紙（雑がみ）】,,0,0,0,0
化粧品の紙箱（においが移っているもの）,けしょうひんのかみばこ（においがうつっているもの）,可燃ごみ,,,0,0,0,0
下駄,げた,可燃ごみ,,,0,0,0,0
下駄箱,げたばこ,粗大ごみ,,,0,0,0,0
ケチャップの外包装,けちゃっぷのがいほうそう,可燃ごみ,,,0,0,0,0
ケチャップの容器（ガラス製）,けちゃっぷのようき（がらすせい）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【びん】https://www.city.chiba.jp/kankyo/junkan/shushugyomu/hinmoku-kakudai.html,水ですすぐ,0,0,0,0
ケチャップの容器（ガラス製以外）,けちゃっぷのようき（がらすせいいがい）,可燃ごみ,,,0,0,0,0
血圧計（水銀を使用しているもの）,けつあつけい（すいぎんをしようしているもの）,有害ごみ,,,0,0,0,0
血圧計（水銀を使用しているもの以外）,けつあつけい（すいぎんをしようしているものいがい）,小型家電または不燃ごみ,電子式のものは各区役所などの使用済小型家電回収ボックスへ（電池は外す）,,1,0,0,1
毛抜き,けぬき,不燃ごみ,,,0,0,0,0
ケミカルライト（サイリウム、ルミカライト）,けみかるらいと（さいりうむ、るみからいと）,可燃ごみ,,,0,0,0,0
玄関マット（室外用）（金属製）,げんかんまっと（しつがいよう）（きんぞくせい）,不燃ごみまたは粗大ごみ,,,0,0,0,0
玄関マット（室外用・室内用）（金属製以外）,げんかんまっと（しつがいよう・しつないよう）（きんぞくせいいがい）,可燃ごみまたは粗大ごみ,,,0,0,0,0
健康器具（鉄アレイ・ダンベルを除く）,けんこうきぐ（てつあれい・だんべるをのぞく）,可燃ごみ、不燃ごみ又は粗大ごみ,,,0,0,0,0
健康ドリンクのびん,けんこうどりんくのびん,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【びん】,水ですすぐ,0,0,0,0
剣山,けんざん,不燃ごみ,紙で包み｢危険｣と書いて不燃ごみ指定袋へ（指定袋に入る場合）,,0,0,0,0
原動機付自転車,げんどうきつきじてんしゃ,排出禁止物等,二輪車リサイクルコールセンターTEL：050-3000-0727https://www.jarc.or.jp/motorcycle/,,1,0,0,0
剣道の用具等,けんどうのようぐとう,粗大ごみ,,,0,0,0,0
顕微鏡,けんびきょう,不燃ごみ,,,0,0,0,0
こいのぼり,こいのぼり,可燃ごみ,,,0,0,0,0
碁石（石製）,ごいし（いしせい）,排出禁止物等,,,1,0,0,0
碁石（プラスチック製）,ごいし（ぷらすちっくせい）,不燃ごみ,,,0,0,0,0
工具・工具箱,こうぐ・こうぐばこ,不燃ごみまたは粗大ごみ,,,0,0,0,0
広告・チラシ,こうこく・ちらし,資源物,（古紙・布類）の【古紙（雑がみ）】,,0,0,0,0
香水のびん,こうすいのびん,不燃ごみ,,使い切ってから出して下さい。,0,0,0,0
紅茶（ティーバッグ）,こうちゃ（てぃーばっぐ）,可燃ごみ,,,0,0,0,0
紅茶（ティーバッグ）の個別包装紙,こうちゃ（てぃーばっぐ）のこべつほうそうし,可燃ごみ,,,0,0,0,0
紅茶（ティーバッグ）の箱（プラスチック製）,こうちゃ（てぃーばっぐ）のはこ（ぷらすちっくせい）,可燃ごみ,,,0,0,0,0
紅茶（ティーバッグ）の箱（紙製）,こうちゃ（てぃーばっぐ）のはこ（かみせい）,資源物,（古紙・布類）の【古紙（雑がみ）】,,0,0,0,0
紅茶（ティーバッグ型）パックの中の台紙,こうちゃ（てぃーばっぐかた）ぱっくのなかのだいし,資源物,（古紙・布類）の【古紙（雑がみ）】,,0,0,0,0
紅茶の缶,こうちゃのかん,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】,,0,0,0,0
こうり（行李）,こうり（こうり）,粗大ごみ,,,0,0,0,0
コーキングガン,こーきんぐがん,不燃ごみ,,,0,0,0,0
コークス（燃料）,こーくす（ねんりょう）,排出禁止物等,,,1,0,0,0
ゴーグル,ごーぐる,不燃ごみ,,,0,0,0,0
コート（毛皮・革・綿入り・ビニール製）,こーと（けがわ・かわ・わたいり・びにーるせい）,可燃ごみ,,,0,0,0,0
コート（毛皮・革・綿入り・ビニール製を除く）,こーと（けがわ・かわ・わたいり・びにーるせいをのぞく）,資源物,（古紙・布類）の【布類】,,0,0,0,0
コート掛け,こーとかけ,粗大ごみ,,,0,0,0,0
コード（電気コード）,こーど（でんきこーど）,不燃ごみ,,,0,0,0,0
コードリール,こーどりーる,不燃ごみまたは粗大ごみ,,,0,0,0,0
コーヒー（インスタント）のびん,こーひー（いんすたんと）のびん,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【びん】,,0,0,0,0
コーヒーがら及びフィルター,こーひーがらおよびふぃるたー,可燃ごみ,,,0,0,0,0
コーヒーの缶,こーひーのかん,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】,水ですすぐ,0,0,0,0
コーヒーびんのフタ（プラスチック製）,こーひーびんのふた（ぷらすちっくせい）,可燃ごみ,,,0,0,0,0
コーヒーびんの内ブタ（紙製）,こーひーびんのないぶた（かみせい）,可燃ごみ,,,0,0,0,0
コーヒーミル,こーひーみる,不燃ごみ,,,0,0,0,0
コーヒーメーカー,こーひーめーかー,不燃ごみ,,,0,0,0,0
氷枕,こおりまくら,可燃ごみ,,,0,0,0,0
氷枕の留め具,こおりまくらのとめぐ,不燃ごみ,,,0,0,0,0
小型充電式電池,こがたじゅうでんしきでんち,市の拠点回収または店舗回収協力店,一般社団法人JBRC（回収協力店が検索できます）／市内の環境事業所、新浜リサイクルセンターに持ち込む。,,1,1,0,0
固形燃料（着火剤）,こけいねんりょう（ちゃっかざい）,排出禁止物等,,,1,0,0,0
